author_name_clean,author_article_count,request_url,redirect_url,method,confidence,beats,title,location,links
Aja Styles,14,https://muckrack.com/aja-styles,https://muckrack.com/aja-styles,brute force,-,"Arts and Entertainment, Australia",Senior Writer — WAtoday,Perth,"https://www.watoday.com.au/by/aja-styles-hve7u, http://twitter.com/ajastyles, https://www.facebook.com/aja.styles, https://www.linkedin.com/in/aja-styles-bb60051a, https://www.instagram.com/ajastyles/"
Jake Johnson,33,https://muckrack.com/jake-johnson,https://muckrack.com/jake-johnson,brute force,-,"Politics, U.S.",Staff Writer — Common Dreams,Portland,"https://t.co/yAayy8hArp, http://twitter.com/johnsonjakep"
Christine Favocci,19,https://muckrack.com/christine-favocci,https://muckrack.com/christine-favocci,brute force,-,-,-,-,-
William Rivers Pitt,14,https://muckrack.com/william-rivers-pitt,https://muckrack.com/william-pitt,brute force,-,"Politics, U.S.",Senior Editor and Lead Columnist — Truthout,United States,"http://t.co/CyDafywwFY, http://twitter.com/WRPitt"
Amy Goodman,19,https://muckrack.com/amy-goodman,https://muckrack.com/amy-goodman-2,brute force,-,"Fashion, Metro New York",Freelance Writer and Broadcaster — Freelance,Washington,"http://www.amyegoodman.com/, http://www.amyegoodman.com/#/blog, http://twitter.com/amyegoodman, https://www.facebook.com/amy.e.goodman.7, https://www.linkedin.com/in/amy-e-goodman-200a1b12/, https://www.instagram.com/amyegoodman/, https://www.youtube.com/channel/UCjnehUmGmg7GLOVQDKvXzHw"
Cam Wolf,15,https://muckrack.com/cam-wolf,https://muckrack.com/camjwolf,brute force,-,"Arts and Entertainment, Fashion, Metro New York",Style Feature Writer — GQ,New York,"https://cameronwolf.wordpress.com/, http://twitter.com/camjwolf, https://www.facebook.com/wolfcameron, https://www.linkedin.com/in/cameron-wolf-12007828, https://www.instagram.com/camjwolf/?hl=en, http://camishere.tumblr.com/"
David Matthews,113,https://muckrack.com/david-matthews,https://muckrack.com/david-matthews,brute force,-,"Education, Science",Reporter — Times Higher Education (THE),"Berlin, Germany","https://t.co/Z6wdlfWvW4, http://twitter.com/DavidMJourno, https://www.facebook.com/david.matthews.90834776, https://www.linkedin.com/in/davidmatthews1/"
Molly Crane-Newman,15,https://muckrack.com/molly-crane-newman,https://muckrack.com/molly-crane-newman,brute force,-,"Metro New York, Politics, U.S. Regional",Manhattan Courts Reporter — New York Daily News,"Kilmacud, New York, United States","https://t.co/vE7PtHqWLw, http://twitter.com/molcranenewman, https://www.linkedin.com/pub/molly-crane-newman/93/73b/856"
Thomas Tracy,40,https://muckrack.com/thomas-tracy,https://muckrack.com/thomas-tracy,brute force,-,"Crime and Justice, Metro New York",Reporter — New York Daily News,New York,"http://twitter.com/Tomtracyv, https://www.facebook.com/tomtracyv, https://www.linkedin.com/in/thomas-tracy-0b19658a"
Cameron Arcand,51,https://muckrack.com/cameron-arcand,https://muckrack.com/cameron-arcand,brute force,-,Politics,Commentary Writer — The Western Journal,Phoenix,"http://cameronarcand.com, http://twitter.com/cameron_arcand, https://www.linkedin.com/in/cameron-arcand-4b0906181/"
Peter Hannam,30,https://muckrack.com/peter-hannam,https://muckrack.com/peter-hannam,brute force,-,"Australia, Environment",Environment Editor — Sydney Morning Herald,Sydney,"https://www.smh.com.au/by/peter-hannam-hvek8, http://twitter.com/p_hannam, https://www.facebook.com/peterhannamau/, https://www.linkedin.com/in/peter-hannam-43798343"
Denis Slattery,36,https://muckrack.com/denis-slattery,https://muckrack.com/denis-slattery,brute force,-,"Politics, U.S.",Reporter — New York Daily News,Albany,"https://t.co/uumhde91Rr, http://twitter.com/SlatteryNYDN, https://www.linkedin.com/in/denis-slattery-89655983"
