site_name,unique_journalist_count,muckrack_url,website_url,popularity,reach_rank,rank_delta,country_rank
AZFamily,15,https://muckrack.com/media-outlet/azfamily,http://azfamily.com,40373,36558,870,7470
Allure,6,https://muckrack.com/media-outlet/allurekorea,http://allurekorea.com,156977,135377,-5409,4864
Architectural Digest,2,https://muckrack.com/media-outlet/architecturaldigest,http://architecturaldigest.com,8285,6153,1253,2547
Arizona Daily Star,13,https://muckrack.com/media-outlet/tucson,http://tucson.com,55352,49218,10770,10032
Arkansas Online,43,https://muckrack.com/media-outlet/arkansasdg,http://arkansasonline.com/,50449,41514,-7041,11411
Austin American-Statesman,13,https://muckrack.com/media-outlet/statesman,http://statesman.com/,24199,19599,998,5521
Axios,28,https://muckrack.com/media-outlet/axios,http://axios.com,4483,3326,-606,931
BGR,7,https://muckrack.com/media-outlet/bgr,http://bgr.com/,20097,15999,1772,5588
BirminghamLive,100,https://muckrack.com/media-outlet/birminghammail,http://birminghammail.co.uk,31739,24604,705,1578
Bleacher Report,36,https://muckrack.com/media-outlet/bleacherreport,http://bleacherreport.com,1136,891,-13,294
Breitbart,50,https://muckrack.com/media-outlet/breitbart,http://breitbart.com,428,434,24,116
Brisbane Times,128,https://muckrack.com/media-outlet/brisbanetimes,http://brisbanetimes.com.au,29339,26514,3709,494
BroadwayWorld.com,7,https://muckrack.com/media-outlet/broadwayworld,http://broadwayworld.com,28105,24277,5124,7025
Business Insider Australia,98,https://muckrack.com/media-outlet/businessinsider-au,http://businessinsider.com.au,18712,14461,2343,249
CNBC,72,https://muckrack.com/media-outlet/cnbc,http://cnbc.com/,272,212,21,105
CNET,65,https://muckrack.com/media-outlet/cnet,http://cnet.com,199,179,-2,111
CNN,14,https://muckrack.com/media-outlet/cnn,http://cnn.com,110,89,13,32
CNN Underscored,2,https://muckrack.com/media-outlet/CNNUnderscored,https://us.cnn.com/cnn-underscored/,110,89,13,32
Chron,125,https://muckrack.com/media-outlet/hchronicle,http://chron.com/,592,454,49,299
ChronicleLive,105,https://muckrack.com/media-outlet/newcastlechronicle,http://chroniclelive.co.uk/,74237,57625,-1771,94137
Colorado Springs Gazette,29,https://muckrack.com/media-outlet/gazettecolorado,http://gazette.com/,69540,56604,1323,20632
Connecticut Post,111,https://muckrack.com/media-outlet/ctpost,http://ctpost.com/,58812,52736,4647,17391
DAWN.COM,6,https://muckrack.com/media-outlet/dawn,http://dawn.com,908,1015,-32,14
Daily Herald,11,https://muckrack.com/media-outlet/dailyherald,http://dailyherald.com/,26902,22972,-4399,6499
Daily Record,193,https://muckrack.com/media-outlet/the-daily-record,,0,0,0,0
Dailystar.co.uk,233,https://muckrack.com/media-outlet/dailystar-1,http://dailystar.co.uk,5585,4295,-372,168
Deadline,23,https://muckrack.com/media-outlet/deadline,http://deadline.com,2801,2172,251,700
ELESPECTADOR.COM,1,https://muckrack.com/media-outlet/elespectador,http://elespectador.com,6341,5245,-462,43
Entrepreneur,15,https://muckrack.com/media-outlet/entrepreneur,http://entrepreneur.com,2439,1855,-110,1635
Express.co.uk,150,https://muckrack.com/media-outlet/expressco,http://express.co.uk/,2581,1969,-139,2506
Fin24,2,https://muckrack.com/media-outlet/fin24,https://www.news24.com/fin24,2550,2326,-421,17
Forbes,110,https://muckrack.com/media-outlet/forbes,http://forbes.com,267,204,-17,128
GQ,3,https://muckrack.com/media-outlet/gq,http://gq.com/,5154,3890,-274,1468
Glamour,9,https://muckrack.com/media-outlet/glamour,http://glamour.com,9253,6665,485,3291
Growth Quarters | The Next Web,1,https://muckrack.com/media-outlet/nextweb,http://thenextweb.com/,8427,6550,2853,4771
Hard Fork | The Next Web,1,https://muckrack.com/media-outlet/cryptopolitan,http://cryptopolitan.com,43226,40833,4555,27314
Heavy.com,58,https://muckrack.com/media-outlet/heavy,http://heavy.com,479,339,112,154
Hindustan Times Auto News,2,https://muckrack.com/media-outlet/htimes,http://hindustantimes.com/,687,549,-121,79
"India News, Breaking News | India.com",3,https://muckrack.com/media-outlet/indiatoday,http://indiatoday.in,944,715,-202,95
"India News, Breaking News, Entertainment News | India.com",4,https://muckrack.com/media-outlet/latestly,http://latestly.com,10828,10440,-6627,933
IndieWire,10,https://muckrack.com/media-outlet/indiewire,http://indiewire.com,6051,5694,492,2057
InfoWorld,1,https://muckrack.com/media-outlet/infoworld,http://infoworld.com,14441,10025,1790,7989
Irish Examiner,104,https://muckrack.com/media-outlet/irishexaminer,http://irishexaminer.com,46870,36046,418,258
JournalStar.com,22,https://muckrack.com/media-outlet/journalstar,http://journalstar.com,61471,56397,9598,14676
LTA,23,https://muckrack.com/media-outlet/therambler,http://therambler.org,4989338,4539359,1549384,0
Liverpool Echo,160,https://muckrack.com/media-outlet/liverpoolecho,http://liverpoolecho.co.uk,17026,13280,-6098,901
Mail Online,344,https://muckrack.com/media-outlet/dailymail,http://dailymail.co.uk/,278,249,-16,145
Manchester Evening News,131,https://muckrack.com/media-outlet/manchestereveningnews,http://manchestereveningnews.co.uk,9781,7520,-3432,462
MarketWatch,32,https://muckrack.com/media-outlet/marketwatch,http://marketwatch.com,424,354,56,194
Mashable,26,https://muckrack.com/media-outlet/mashable,http://mashable.com/,1585,1238,172,579
Military Times,10,https://muckrack.com/media-outlet/militarytimes,http://militarytimes.com,37085,30797,-1816,9028
NDTVSports.com,1,https://muckrack.com/media-outlet/ndtv#!,http://ndtv.com/,364,306,-87,44
NOLA.com,23,https://muckrack.com/media-outlet/nola,http://nola.com/,24449,20252,2314,4686
Neural | The Next Web,3,https://muckrack.com/media-outlet/nextweb,http://thenextweb.com/,8427,6550,2853,4771
News24,16,https://muckrack.com/media-outlet/news24,http://news24.com/,2550,2326,-421,17
Newser,12,https://muckrack.com/media-outlet/newser,http://newser.com,23096,26608,693,5138
Omaha.com,18,https://muckrack.com/media-outlet/omahawh,http://omaha.com/,59383,54452,6071,12806
"Parade: Entertainment, Recipes, Health, Life, Holidays",12,https://muckrack.com/media-outlet/parade,http://parade.com,4776,3423,-2375,2149
Phone Arena,9,https://muckrack.com/media-outlet/phonearena,http://phonearena.com,10003,8580,1825,5817
Plugged | The Next Web,3,https://muckrack.com/media-outlet/nextweb,http://thenextweb.com/,8427,6550,2853,4771
Post and Courier,49,https://muckrack.com/media-outlet/postandcourier,http://postandcourier.com/,38102,33800,1825,7573
Quartz,3,https://muckrack.com/media-outlet/quartz,http://qz.com/,5404,3697,1012,2326
Quartz Africa,1,https://muckrack.com/media-outlet/quartz,http://qz.com/,5404,3697,1012,2326
Quartz India,2,https://muckrack.com/media-outlet/quartz,http://qz.com/,5404,3697,1012,2326
Quartz at Work,2,https://muckrack.com/media-outlet/quartz,http://qz.com/,5404,3697,1012,2326
Rediff,3,https://muckrack.com/media-outlet/rediff,http://rediff.com,672,760,43,71
Richmond Times-Dispatch,19,https://muckrack.com/media-outlet/rtd,http://richmond.com/,55507,48465,4296,9511
Roadshow,7,https://muckrack.com/media-outlet/theroadshow,http://theroadshow.com,0,0,0,0
Roanoke Times,17,https://muckrack.com/media-outlet/roanoketimes,http://roanoke.com/,57869,54718,19468,9688
Rolling Stone,19,https://muckrack.com/media-outlet/rollingstoneindia,http://rollingstoneindia.com,188463,165030,-70541,94272
SFGATE,130,https://muckrack.com/media-outlet/sfgate,http://sfgate.com,1193,973,-82,320
STLtoday.com,18,https://muckrack.com/media-outlet/stlouis,http://stltoday.com/,14731,13560,-2205,3062
SYFY WIRE,9,https://muckrack.com/media-outlet/syfy,http://syfy.com,28026,23137,5286,8355
