,Tag,Entity,Count
3122,GPE,U.S.,71
13,ORGANIZATION,AP,64
0,ORGANIZATION,OurPrivacy,62
3194,GPE,EU,54
278,ORGANIZATION,RGS,47
3156,GPE,India,43
3165,GPE,England,36
3407,GPE,China,35
118,ORGANIZATION,Reuters,31
3137,GPE,Cyprus,30
9,ORGANIZATION,Senate,29
1472,PERSON,Christmas,27
126,ORGANIZATION,UK,25
3395,GPE,Chinese,24
4074,GSP,US,21
5,ORGANIZATION,Supreme Court,21
212,ORGANIZATION,HBO Max,20
205,ORGANIZATION,CEO,20
3213,GPE,Indian,20
1904,PERSON,Glencore,19
3128,GPE,United,19
3142,GPE,Greece,19
1387,PERSON,Trump,19
3166,GPE,Europe,18
58,ORGANIZATION,Christmas,18
3224,GPE,Germany,17
3188,GPE,New,17
596,ORGANIZATION,IoT,16
342,ORGANIZATION,University,15
3144,GPE,European Union,15
145,ORGANIZATION,Congress,15
3127,GPE,British,14
45,ORGANIZATION,AYUSH,14
3436,GPE,French,14
3246,GPE,Texas,13
1489,PERSON,Ivory Coast,13
51,ORGANIZATION,COVID,12
3698,GPE,Pakistan,12
3216,GPE,New York,12
4040,LOCATION,West Ham,12
3297,GPE,Nigeria,12
3141,GPE,Turkey,11
1327,PERSON,Joe Biden,11
3604,GPE,Wales,11
580,ORGANIZATION,Hydrogen Generation,11
3223,GPE,Berlin,11
3655,GPE,Japan,10
3234,GPE,English,10
3454,GPE,Norway,10
3226,GPE,St.,10
180,ORGANIZATION,US,10
173,ORGANIZATION,Xbox Series,10
47,ORGANIZATION,Ministry,10
2836,PERSON,Mando,10
1748,PERSON,Mr.,10
860,ORGANIZATION,FREE,10
2,ORGANIZATION,Republican,10
3147,GPE,United States,10
3204,GPE,South,9
1777,PERSON,Joel,9
107,ORGANIZATION,European Union,9
695,ORGANIZATION,PURA,9
3344,GPE,Photo,9
153,ORGANIZATION,SEC,9
211,ORGANIZATION,WarnerMedia,9
1929,PERSON,Guardiola,9
2347,PERSON,Suga,9
2513,PERSON,Charles,9
167,ORGANIZATION,iPhone,9
1334,PERSON,Covid,9
3330,GPE,France,9
3232,GPE,Maryland,9
3262,GPE,Apple,9
941,ORGANIZATION,Queen,9
1894,PERSON,Gbagbo,8
2823,PERSON,Boba,8
3268,GPE,Russia,8
1326,PERSON,Donald Trump,8
1623,PERSON,Sitharaman,8
185,ORGANIZATION,NYSE,8
3222,GPE,German,8
1276,ORGANIZATION,APC,8
529,ORGANIZATION,MailOnline,8
1424,PERSON,Alabama,8
